D:\MySoftware\anaconda3\envs\MyPython37\python.exe "D:/MyDocument/code/Mathematical Contest In Modeling/questions/T2/T2.py"
240.41921412096127 0
383.64930759244857 0
440.66091419472815 0
479.34236348036313 0
478.5283668391107 0
420.98947133916664 0
442.527560195304 1
525.6793657895955 2
526.5738231727995 3
525.9305304795163 4
508.3822535161783 4
544.6442014569477 3
569.7172296501888 3
570.6212930251826 4
566.7164413056123 4
567.6793463721136 5
557.6069803643446 6
461.35650791872683 5
488.78503891337175 4
518.821631718362 5
521.7156569849634 5
518.9513510542379 8
518.4673071911636 9
518.5946255805424 10
518.5944975865692 11
561.4544801423308 11
565.2348622022085 10
564.7767200762291 9
577.1660968752648 8
585.3469506842058 9
581.9006107864797 10
588.2857220178801 14
588.9239842950068 13
589.3068953046196 14
594.3535639071941 17
591.2970365764243 15
610.7661422263441 19
608.8626141946849 19
716.8952554446878 19
715.6831741556654 20
705.5417010337828 20
701.2816921244595 19
651.2686912313299 13
643.5072670320695 14
643.0917635334325 15
646.7668928539314 16
648.3538909519389 17
644.396880653032 16
640.827925980257 18
638.5347523050409 16
633.9489543835833 18
648.6452037520731 21
645.2156611590125 20
645.0603689243644 21
592.0678503847796 22
585.688982868615 22
588.4403454353898 23
588.4565952451312 24
587.8532274546744 25
589.208215745198 26
570.5606890995424 16
567.7860017597283 18
591.9524670346484 35
594.3740202735879 33
594.3111288884227 33
593.0847518580448 33
593.984887989465 33
596.3140180678099 34
643.5918509318487 29
678.4392868316158 35
646.6656677370171 29
660.5603258009775 35
665.3301522794034 36
600.0957304585944 41
601.0770537278892 42
601.1347369590314 43
606.5671009988343 42
606.2822864171341 43
590.5638471940963 45
590.2845509852636 47
582.5389094371955 42
585.1503073084352 42
586.425901406315 46
586.745122557329 47
585.9627358141754 47
586.7472176081187 47
590.2845455498311 47
588.4281259233695 46
593.4295520422457 49
596.4208366112495 52
595.5544369092528 52
596.3478195463072 53
595.0979234021052 52
595.7598581316206 53
610.580166152497 50
609.511566000062 51
617.4102831821662 53
659.8347453478573 54
668.3379826066687 58
663.2486034312695 59
673.8377381843683 63
674.5392956654995 64
667.5326066557244 60
669.472263448551 62
669.1764267005069 64
668.5002592817262 64
667.2834291899064 63
671.6924549579566 64
668.880914017722 63
670.6313791598575 65
670.7171222784259 66
672.4860762273792 70
675.0572698495481 65
672.6291128412363 66
637.4914983646704 53
636.7284101751083 53
610.5044160412126 43
609.3064775833691 43
609.7994924896649 45
614.2195466093867 49
636.195615332882 61
619.0860771531735 57
618.9307592221744 58
659.233722723277 68
652.2048610956858 73
654.8511536064993 71
654.964879138079 72
650.6415850011074 72
651.082137702939 74
650.8401608953926 74
642.2191088362864 73
644.8009847581525 75
640.0993556240747 75
593.2261466467753 67
613.1091619688036 62
648.5022618273581 72
649.0928151466455 73
647.2550158965205 75
653.3313522018514 73
642.7293509272398 66
638.1166590953726 61
635.1815622869053 65
629.7210891274038 65
635.2702833536393 66
624.3479192302584 61
624.3631107383537 62
623.5473812187972 64
624.598342676123 67
624.641991958995 68
629.2358080795308 72
637.368322037757 70
638.5214325636902 73
637.1934906675514 76
638.5425587464258 81
639.9643673102181 83
640.1898266052133 84
639.9367585340138 86
644.351082643144 94
644.9942744774943 97
640.9364072307375 97
640.9334435559849 98
650.6042590309802 95
651.8134551317187 84
654.620803741861 84
655.1944756457146 73
657.3038970752012 77
680.8794631637327 82
683.0297357868521 84
670.4180234430337 74
667.9113798631682 88
684.6646857791882 85
683.6338274485082 86
697.4479255563035 90
704.2022836896356 95
702.7625389564171 92
707.4262920518812 97
707.998526429891 97
707.6085824642687 98
704.2616746334136 97
706.030723331482 100
706.1101797576667 101
709.5656646426577 101
695.8117027602995 95
695.4557837560915 97
698.5076012137542 100
695.1443363639529 98
674.447445965492 86
671.1769308767205 88
670.2122869083207 88
669.9836618556698 88
674.9505347226165 86
676.2488758070501 87
677.7655246266344 88
662.0976307901592 89
660.8618270613458 90
659.5293352868409 90
655.3715582351776 89
 655.2828098255734 90
659.8199147334421 97
659.7917712444753 98

Process finished with exit code 0
